risk_rank,ac_no,constituency,district,risk_score,winner_party_2022,winner_candidate_2022,winner_pct_2022,runnerup_party_2022,runnerup_candidate_2022,runnerup_pct_2022,margin_votes_2022,margin_pct_2022,margin_pct_2017,margin_trend,seat_turnover,closeness_score,trend_score,turnover_score
1,237,Manikpur,Chitrakoot,98.18,AD(S),Avinash Chandra Dwivedi,35.17,SP,Veer Singh Patel,34.67,1048.0,0.5,23.3,22.8,True,99.0,95.6,100.0
2,239,Bindki,Fatehpur,98.01,AD(S),Jai Kumar Singh Jaiki,40.96,SP,Rameshwar Dayal,38.97,3797.0,1.990000000000002,31.0,29.009999999999998,True,96.02,100.0,100.0
3,180,Rae Bareli,Raebareli,96.89,BJP,Aditi Singh,44.51,SP,Ram Pratap Yadav,41.4,7175.0,3.1099999999999994,43.73,40.62,True,93.78,100.0,100.0
4,220,Kalpi,Jalaun,96.71,SP,Vinod Chaturvedi,29.48,NISHAD,Chhote Singh,28.29,2816.0,1.1900000000000013,22.69,21.5,True,97.62,93.0,100.0
5,310,Basti Sadar,Basti,96.13,SP,Mahendra Nath Yadav,39.81,BJP,Dayaram Choudhary,38.99,1779.0,0.8200000000000003,20.740000000000002,19.92,True,98.36,89.84,100.0
6,23,Chandpur,Bijnor,94.67,SP,Swami Omvesh,40.34,BJP,Kamlesh Saini,40.24,234.0,0.10000000000000142,16.390000000000004,16.290000000000003,True,99.8,82.58000000000001,100.0
7,118,Baheri,Bareilly,93.42,SP,Ataur Rehman,46.67,BJP,Chhatrapal Singh Gangwar,45.41,3355.0,1.2600000000000051,17.389999999999997,16.129999999999992,True,97.47999999999999,82.25999999999999,100.0
8,312,Menhdawal,Sant Kabir Nagar,93.15,NISHAD,Anil Kumar Tripathi,37.23,SP,Jay Chand,35.08,5223.0,2.1499999999999986,19.32,17.17,True,95.7,84.34,100.0
9,375,Ghazipur Sadar,Ghazipur,93.02,SP,Jai Kishan Sahu,40.81,BJP,Sangeeta Balwant Bind,40.06,1692.0,0.75,15.370000000000001,14.620000000000001,True,98.5,79.24000000000001,100.0
10,267,Ramnagar,Barabanki,91.0,SP,Fareed Mahfooz Kidwai,41.96,BJP,Sharad Kumar Awasthi,41.85,261.0,0.10999999999999943,10.29,10.18,True,99.78,70.36,100.0
11,269,Zaidpur (SC),Barabanki,90.2,SP,Gaurav Kumar,40.86,BJP,Ambrish Rawat,39.79,2982.0,1.0700000000000003,11.520000000000003,10.450000000000003,True,97.86,70.9,100.0
12,96,Jasrana,Firozabad,89.8,SP,Sachin Yadav,43.71,BJP,Manvendra Lodhi,43.37,836.0,0.3400000000000034,8.900000000000006,8.560000000000002,True,99.32,67.12,100.0
13,177,Bachhrawan (SC),Raebareli,89.73,SP,Shyam Sunder Bharti,31.38,AD(S),Laxmikant,30.04,2812.0,1.3399999999999999,11.450000000000003,10.110000000000003,True,97.32,70.22,100.0
14,10,Shamli,Shamli,88.73,RLD,Persann Kumar Chaudhary,48.86,BJP,Tejendra Nirwal,45.49,7107.0,3.3699999999999974,15.21,11.840000000000003,True,93.26,73.68,100.0
15,311,Mahadewa (SC),Basti,88.72,SBSP,Dudhram,39.47,BJP,Ravi Kumar Sonkar,36.87,5495.0,2.6000000000000014,13.129999999999999,10.529999999999998,True,94.8,71.06,100.0
16,259,Meja,Prayagraj,88.72,SP,Sandeep Singh Patel,42.12,BJP,Neelam Karwariya,40.28,3439.0,1.8399999999999963,11.099999999999998,9.260000000000002,True,96.32000000000001,68.52000000000001,100.0
17,203,Dibiyapur,Auraiya,88.42,SP,Pradeep Kumar Yadav,40.34,BJP,Lakhan Singh Rajput,40.1,473.0,0.240000000000002,6.339999999999996,6.099999999999994,True,99.52,62.19999999999999,100.0
18,240,Fatehpur,Fatehpur,88.35,SP,Chandra Prakash Lodhi,45.24,BJP,Vikram Singh,41.22,8601.0,4.020000000000003,16.3,12.279999999999998,True,91.96,74.56,100.0
19,251,Sirathu,Kaushambi,87.95,SP,Pallavi Patel,46.49,BJP,Keshav Prasad Maurya,43.28,7337.0,3.210000000000001,13.480000000000004,10.270000000000003,True,93.58,70.54,100.0
